Player,Age,Position,CM,KG,Start,Sub,Game,Mins,Goals,Assists,G+A,Yel,Red,Yel+Red,SpG,PS%,AerialsWon,MotM,Rating,Team,Season,Nationality,Country
A.Abdennour,26,Defender,186,85,22,0,22,1853,0,0,0,4,0,4,0.3,83.2,1.9,0,6.88,Valencia,2015/2016,TUN,Tunisia
A.Abdennour,27,Defender,186,85,9,4,13,878,0,0,0,4,0,4,0.2,84,1.3,0,6.51,Valencia,2016/2017,TUN,Tunisia
A.Abeid,20,Defender,174,70,1,0,1,78,0,0,0,0,0,0,0,75,1,0,6.48,Levante,2017/2018,MTN,Mauritania
A.Aceves,19,Goalkeeper,190,0,0,1,1,12,0,0,0,0,0,0,0,80,1,0,6.61,Real Valladolid,2022/2023,ESP,Spain
A.Adan,23,Goalkeeper,190,86,2,1,3,260,0,0,0,0,0,0,0,55.9,0,0,6.79,Real Madrid,2010/2011,ESP,Spain
A.Adan,24,Goalkeeper,190,86,1,0,1,90,0,0,0,0,0,0,0,64.3,1,0,7.63,Real Madrid,2011/2012,ESP,Spain
A.Adan,25,Goalkeeper,190,86,3,0,3,186,0,0,0,0,1,1,0,68.6,0,0,6.22,Real Madrid,2012/2013,ESP,Spain
A.Adan,26,Goalkeeper,190,86,17,0,17,1524,0,0,0,1,0,1,0,46.8,0.8,0,6.56,Real Betis,2013/2014,ESP,Spain
A.Adan,28,Goalkeeper,190,86,36,0,36,3213,0,0,0,6,0,6,0,38.7,0.3,2,6.78,Real Betis,2015/2016,ESP,Spain
A.Adan,29,Goalkeeper,190,86,37,0,37,3330,0,0,0,5,0,5,0,52.7,0.3,1,6.78,Real Betis,2016/2017,ESP,Spain
A.Adan,30,Goalkeeper,190,86,30,0,30,2700,0,2,2,4,0,4,0,67.4,0.2,2,6.59,Real Betis,2017/2018,ESP,Spain
A.Adan,31,Goalkeeper,190,86,2,0,2,91,0,0,0,1,0,1,0,50,0,0,6.47,Atletico Madrid,2018/2019,ESP,Spain
A.Adan,32,Goalkeeper,190,86,0,1,1,24,0,0,0,0,0,0,0,60,0,0,6.11,Atletico Madrid,2019/2020,ESP,Spain
A.Aduriz,30,Forward,181,77,20,9,29,1856,10,2,12,6,1,7,1.7,73.5,3.2,2,6.92,Valencia,2010/2011,ESP,Spain
A.Aduriz,31,Forward,181,77,11,18,29,1286,7,1,8,5,1,6,1.9,69.6,2.1,1,6.67,Valencia,2011/2012,ESP,Spain
A.Aduriz,32,Forward,181,77,33,3,36,2594,14,6,20,11,1,12,2.3,72.5,2.6,2,6.89,Athletic Bilbao,2012/2013,ESP,Spain
A.Aduriz,33,Forward,181,77,26,5,31,2410,15,7,22,6,2,8,2.6,61.7,5.6,7,7.32,Athletic Bilbao,2013/2014,ESP,Spain
